timestamp,2508bc72784db0cccfe2abaf21a2901348296118,54ba643ef1116d7de67d918e35e22f494408dab7,6b8b348220e0880d2d4bb373cd58ac920cc08fa0,7726551a4b5861acf9598b03f676222f5d10656d,77fc3393c6c6e0a2487422886363667aee953244,7ce37b95947d27775788beaa9899ea94c888434c,7d974f90a51f05d222dde08dce86c9e3220769e7,830ca47eee5b372f4c0f1810ac25d7b4c687fbbf,87d2bad4e28fc42e03ceae8dc6e5675821d5aadd,893954923fa66520873628280b7e20a95de291ff,bd16f55214f3705f14fd6de7c8557b8ebfe4aae4,c73c5108f02c607efae152105ab1440c9c865fae,c8e285be7dac4c97654ab58d67840adbc9c69400,dd63669428e95c07519e072b058e775c54c5a688,e1d57830999309ddcd17736d7b05a3ba4b8ed532
1570922198,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922199,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922200,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922201,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922202,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922203,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922204,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922205,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922206,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922207,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922208,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922209,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922210,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922211,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922212,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922213,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922214,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922215,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922216,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922217,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922218,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922219,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922220,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922221,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922222,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922223,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922224,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922225,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922226,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922227,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922228,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922229,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922230,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922231,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922232,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922233,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922234,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922235,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922236,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922237,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922238,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922239,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922240,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922241,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922242,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922243,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922244,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922245,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922246,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922247,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922248,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922249,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922250,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922251,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922252,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922253,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922254,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922255,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922256,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922257,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922258,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922259,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922260,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922261,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922262,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922263,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922264,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922265,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922266,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922267,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922268,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922269,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922270,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922271,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922272,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922273,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922274,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922275,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922276,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922277,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922278,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922279,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922280,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922281,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922282,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922283,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922284,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922285,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922286,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922287,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922288,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922289,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922290,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922291,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922292,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922293,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922294,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922295,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922296,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922297,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922298,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922299,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922300,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922301,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922302,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922303,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922304,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922305,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922306,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922307,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922308,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922309,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922310,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922311,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922312,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922313,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922314,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922315,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922316,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922317,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922318,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922319,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922320,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922321,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922322,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922323,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922324,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922325,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922326,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922327,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922328,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922329,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922330,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922331,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922332,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922333,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922334,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922335,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922336,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922337,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922338,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922339,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922340,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922341,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922342,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922343,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922344,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922345,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922346,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922347,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922348,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922349,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922350,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922351,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922352,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922353,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922354,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922355,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922356,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922357,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922358,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922359,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922360,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922361,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922362,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922363,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922364,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922365,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922366,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922367,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922368,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922369,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922370,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922371,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922372,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922373,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922374,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922375,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922376,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922377,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922378,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922379,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922380,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922381,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922382,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922383,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922384,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922385,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922386,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922387,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922388,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922389,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922390,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922391,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922392,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922393,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922394,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922395,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922396,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922397,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922398,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922399,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922400,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922401,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922402,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922403,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922404,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922405,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922406,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922407,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922408,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922409,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922410,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922411,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922412,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922413,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922414,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922415,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922416,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922417,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922418,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922419,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922420,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922421,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922422,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922423,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922424,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922425,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922426,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922427,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922428,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922429,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922430,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922431,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922432,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922433,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922434,148,38,45,44,147,39,148,36,43,43,37,40,41,152,1.0000330447845458
1570922435,156,39,46,44,147,47,148,44,51,43,37,40,42,153,1.0000330447845458
1570922436,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922437,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922438,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922439,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922440,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922441,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922442,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922443,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922444,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922445,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922446,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922447,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922448,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922449,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922450,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922451,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922452,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922453,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922454,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922455,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922456,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922457,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922458,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922459,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922460,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922461,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922462,156,47,54,52,155,47,156,44,51,51,45,48,50,161,1.0000330447845458
1570922463,164,56,63,60,155,55,164,52,59,51,53,56,59,170,1.0000330447845458
1570922464,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922465,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922466,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922467,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922468,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922469,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922470,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922471,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922472,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
1570922473,164,56,63,60,163,55,164,52,59,59,53,56,59,170,1.0000330447845458
