timestamp,W_totalops,W_op/s,W_pk/s,W_row/s,W_mean,W_med,W_95,W_99,W_999,W_max,W_stderr,R_totalops,R_op/s,R_pk/s,R_row/s,R_mean,R_med,R_95,R_99,R_999,R_max,R_stderr
1570922160,18078048,1657.0,1657.0,1657.0,2.76,1.47,7.18,24.81,61.28,77.46,0.00,18095208,1504.0,1504.0,1504.0,3.41,1.64,7.99,59.57,70.58,77.07,0.00383
1570922161,18079544,1496.0,1496.0,1496.0,3.06,1.61,7.77,46.47,62.78,62.85,0.00,18096757,1549.0,1549.0,1549.0,3.61,1.68,10.69,48.33,63.83,72.09,0.00383
1570922162,18081001,1457.0,1457.0,1457.0,3.09,1.43,8.79,32.56,81.00,86.64,0.00,18098247,1490.0,1490.0,1490.0,3.69,1.59,11.64,46.99,64.32,70.12,0.00383
1570922163,18082390,1389.0,1389.0,1389.0,3.29,1.40,10.05,45.68,78.97,80.28,0.00,18099809,1562.0,1562.0,1562.0,3.46,1.51,10.49,44.96,75.30,79.17,0.00383
1570922164,18084004,1614.0,1614.0,1614.0,2.99,1.29,10.17,32.90,61.57,63.47,0.00,18101264,1455.0,1455.0,1455.0,3.52,1.48,12.85,44.17,65.60,70.71,0.00383
1570922165,18085462,1458.0,1458.0,1458.0,3.44,1.39,10.00,48.59,92.27,95.42,0.00,18102632,1368.0,1368.0,1368.0,3.60,1.59,11.02,44.27,95.75,98.57,0.00383
1570922166,18086626,1164.0,1164.0,1164.0,3.86,1.40,11.30,76.68,99.75,106.36,0.00,18103941,1309.0,1309.0,1309.0,4.18,1.46,11.69,88.67,104.07,106.95,0.00383
1570922167,18088261,1635.0,1635.0,1635.0,2.62,1.16,7.48,40.76,77.00,82.84,0.00,18105754,1813.0,1813.0,1813.0,2.93,1.32,8.51,41.81,56.92,69.73,0.00383
1570922168,18090222,1961.0,1961.0,1961.0,2.95,1.23,8.75,42.17,66.68,75.96,0.00,18107431,1677.0,1677.0,1677.0,2.70,1.42,7.79,28.28,58.72,63.34,0.00383
1570922169,18091900,1678.0,1678.0,1678.0,2.57,1.14,6.77,30.74,74.97,79.95,0.00,18109155,1724.0,1724.0,1724.0,3.28,1.37,10.57,45.32,76.09,82.77,0.00383
1570922170,18093710,1810.0,1810.0,1810.0,2.53,1.12,7.05,38.83,63.93,66.72,0.00,18111041,1886.0,1886.0,1886.0,2.82,1.38,8.18,36.93,60.06,66.39,0.00383
1570922171,18095429,1719.0,1719.0,1719.0,2.59,1.15,7.60,20.15,103.48,107.15,0.00,18112885,1844.0,1844.0,1844.0,3.00,1.35,7.93,47.05,107.48,108.92,0.00383
1570922172,18097041,1612.0,1612.0,1612.0,2.83,1.15,7.92,44.70,94.18,99.81,0.00,18114674,1789.0,1789.0,1789.0,3.00,1.35,9.10,40.21,96.01,98.89,0.00383
1570922173,18098733,1692.0,1692.0,1692.0,2.55,1.19,7.46,30.64,63.96,66.03,0.00,18116510,1836.0,1836.0,1836.0,3.09,1.40,9.22,46.83,65.54,68.35,0.00383
1570922174,18100441,1708.0,1708.0,1708.0,2.84,1.24,8.57,48.27,67.70,70.58,0.00,18118276,1766.0,1766.0,1766.0,2.82,1.41,7.89,38.40,69.21,71.24,0.00383
1570922175,18102244,1803.0,1803.0,1803.0,2.59,1.24,6.98,40.11,62.19,64.59,0.00,18120056,1780.0,1780.0,1780.0,3.03,1.42,7.88,50.40,65.80,66.98,0.00383
1570922176,18103889,1645.0,1645.0,1645.0,2.82,1.21,8.76,50.92,63.34,66.52,0.00,18121687,1631.0,1631.0,1631.0,3.26,1.47,10.25,48.23,66.75,70.32,0.00383
1570922177,18105623,1734.0,1734.0,1734.0,2.69,1.25,7.39,40.11,55.18,65.77,0.00,18123320,1633.0,1633.0,1633.0,3.23,1.40,10.38,52.07,62.55,65.47,0.00383
1570922178,18107500,1877.0,1877.0,1877.0,2.53,1.26,8.34,20.55,63.34,66.42,0.00,18124998,1678.0,1678.0,1678.0,3.05,1.45,10.00,27.26,61.08,68.75,0.00383
1570922179,18109324,1824.0,1824.0,1824.0,2.75,1.17,7.23,61.28,85.92,93.72,0.00,18126527,1529.0,1529.0,1529.0,3.28,1.43,8.45,57.87,71.89,96.80,0.00383
1570922180,18111057,1733.0,1733.0,1733.0,2.51,1.22,7.77,19.63,64.32,69.40,0.00,18128365,1838.0,1838.0,1838.0,3.04,1.41,8.99,55.05,65.34,66.88,0.00383
1570922181,18112800,1743.0,1743.0,1743.0,2.92,1.20,8.50,47.22,76.87,82.44,0.00,18129825,1460.0,1460.0,1460.0,3.30,1.38,9.95,50.27,69.53,77.99,0.00383
1570922182,18114552,1752.0,1752.0,1752.0,2.77,1.16,8.73,38.67,70.25,77.20,0.00,18131442,1617.0,1617.0,1617.0,3.19,1.47,8.95,48.66,66.22,74.91,0.00383
1570922183,18116373,1821.0,1821.0,1821.0,2.55,1.20,7.39,28.20,51.64,67.17,0.00,18133338,1896.0,1896.0,1896.0,2.72,1.41,7.54,26.56,67.37,78.97,0.00383
1570922184,18118233,1860.0,1860.0,1860.0,2.68,1.21,7.17,45.12,66.16,73.53,0.00,18135142,1804.0,1804.0,1804.0,2.83,1.47,7.95,29.31,60.36,64.72,0.00383
1570922185,18120062,1829.0,1829.0,1829.0,2.63,1.15,6.48,54.23,66.29,70.58,0.00,18136914,1772.0,1772.0,1772.0,2.90,1.49,7.96,28.02,62.26,68.62,0.00383
1570922186,18121693,1631.0,1631.0,1631.0,2.72,1.31,8.00,42.47,57.57,67.83,0.00,18138769,1855.0,1855.0,1855.0,2.96,1.41,8.11,44.66,60.85,67.31,0.00383
1570922187,18123345,1652.0,1652.0,1652.0,2.80,1.24,7.82,48.66,64.26,75.96,0.00,18140229,1460.0,1460.0,1460.0,3.46,1.39,9.74,56.00,76.28,77.20,0.00383
1570922188,18125129,1784.0,1784.0,1784.0,2.70,1.16,6.84,52.85,65.54,66.81,0.00,18141999,1770.0,1770.0,1770.0,2.78,1.33,7.64,36.44,64.00,66.81,0.00383
1570922189,18126976,1847.0,1847.0,1847.0,2.54,1.24,7.77,28.46,62.95,65.08,0.00,18143830,1831.0,1831.0,1831.0,2.94,1.42,8.61,31.69,61.37,64.09,0.00383
1570922190,18128551,1575.0,1575.0,1575.0,2.85,1.26,8.90,47.22,65.86,67.44,0.00,18145626,1796.0,1796.0,1796.0,3.26,1.56,9.94,45.42,64.03,73.20,0.00383
1570922191,18130210,1659.0,1659.0,1659.0,2.76,1.20,8.56,45.81,65.27,71.17,0.00,18147250,1624.0,1624.0,1624.0,3.22,1.46,8.10,57.84,71.37,73.79,0.00383
1570922192,18131940,1730.0,1730.0,1730.0,2.76,1.17,7.16,55.93,81.07,82.77,0.00,18148871,1621.0,1621.0,1621.0,3.29,1.46,8.90,58.13,73.86,81.40,0.00383
1570922193,18133658,1718.0,1718.0,1718.0,2.92,1.28,7.15,47.25,72.88,92.34,0.00,18150531,1660.0,1660.0,1660.0,2.97,1.50,7.29,47.38,78.77,89.85,0.00383
1570922194,18135611,1953.0,1953.0,1953.0,2.29,1.16,6.86,16.78,53.12,53.54,0.00,18152389,1858.0,1858.0,1858.0,2.91,1.40,8.50,38.90,53.67,56.00,0.00383
