timestamp,clients
1572493367,12
1572493368,12
1572493369,12
1572493370,12
1572493371,12
1572493372,12
1572493373,12
1572493374,12
1572493375,12
1572493376,12
1572493377,12
1572493378,12
1572493379,12
1572493380,12
1572493381,12
1572493382,12
1572493383,12
1572493384,12
1572493385,12
1572493386,12
1572493387,12
1572493388,12
1572493389,12
1572493390,12
1572493391,12
1572493392,12
1572493393,12
1572493394,12
1572493395,12
1572493396,12
1572493397,12
1572493398,12
1572493399,12
1572493400,12
1572493401,12
1572493402,12
1572493403,12
1572493404,12
1572493405,12
1572493406,12
1572493407,12
1572493408,12
1572493409,12
1572493410,12
1572493411,12
1572493412,12
1572493413,12
1572493414,12
1572493415,12
1572493416,12
1572493417,12
1572493418,12
1572493419,12
1572493420,12
1572493421,12
1572493422,12
1572493423,12
1572493424,12
1572493425,12
1572493426,12
1572493427,12
1572493428,12
1572493429,12
1572493430,12
1572493431,12
1572493432,12
1572493433,12
1572493434,12
1572493435,12
1572493436,12
1572493437,12
1572493438,12
1572493439,12
1572493440,12
1572493441,12
1572493442,12
1572493443,12
1572493444,12
1572493445,12
1572493446,12
1572493447,12
1572493448,12
1572493449,12
1572493450,12
1572493451,12
1572493452,12
1572493453,12
1572493454,12
1572493455,12
1572493456,12
1572493457,12
1572493458,12
1572493459,12
1572493460,12
1572493461,12
1572493462,12
1572493463,12
1572493464,12
1572493465,12
1572493466,12
1572493467,12
1572493468,12
1572493469,12
1572493470,12
1572493471,12
1572493472,12
1572493473,12
1572493474,12
1572493475,12
1572493476,12
1572493477,12
1572493478,12
1572493479,12
1572493480,12
1572493481,12
1572493482,12
1572493483,12
1572493484,12
1572493485,12
1572493486,12
1572493487,12
1572493488,12
1572493489,12
1572493490,12
1572493491,12
1572493492,12
1572493493,12
1572493494,12
1572493495,12
1572493496,12
1572493497,12
1572493498,12
1572493499,12
1572493500,12
1572493502,11
1572493503,11
1572493504,11
1572493505,11
1572493506,11
1572493507,11
1572493508,11
1572493509,11
1572493510,11
1572493511,11
1572493512,11
1572493513,11
1572493514,11
1572493515,11
1572493516,11
1572493517,11
1572493518,11
1572493519,11
1572493520,11
1572493521,11
1572493522,11
1572493523,11
1572493524,11
1572493525,11
1572493526,11
1572493527,11
1572493528,11
1572493529,10
1572493530,10
1572493531,10
1572493532,10
1572493533,10
1572493534,10
1572493535,10
1572493536,10
1572493537,10
1572493538,10
1572493539,10
1572493540,10
1572493541,10
1572493542,10
1572493543,10
1572493544,10
1572493545,10
1572493546,10
1572493547,10
1572493548,10
1572493549,10
1572493550,10
1572493551,10
1572493552,10
1572493553,10
1572493554,10
1572493555,10
1572493557,9
1572493558,9
1572493559,9
1572493560,9
1572493561,9
1572493562,9
1572493563,9
1572493564,9
1572493565,9
1572493566,9
1572493567,9
1572493568,9
1572493569,9
1572493570,9
1572493571,9
1572493572,9
1572493573,9
1572493574,9
1572493575,9
1572493576,9
1572493577,9
1572493578,9
1572493579,9
1572493580,9
1572493581,9
1572493582,9
1572493583,9
1572493584,8
1572493585,8
1572493586,8
1572493587,8
1572493588,8
1572493589,8
1572493590,8
1572493591,8
1572493592,8
1572493593,8
1572493594,8
1572493595,8
1572493596,8
1572493597,8
1572493598,8
1572493599,8
1572493600,8
1572493601,8
1572493602,8
1572493603,8
1572493604,8
1572493605,8
1572493606,8
1572493607,8
1572493608,8
1572493609,8
1572493610,8
1572493611,7
1572493612,7
1572493613,7
1572493614,7
1572493615,7
1572493616,7
1572493617,7
1572493618,7
1572493619,7
1572493620,7
1572493621,7
1572493622,7
1572493623,7
1572493624,7
1572493625,7
